Track name, Artist name, Album, Playlist name, Type,Link
3 years of Computer Science in 8 minutes,,,Clean Coding Videos,Playlist track,https://youtu.be/ReVeUvwTGdU
HOW TO PROGRAM - Getting Started!,,,Clean Coding Videos,Playlist track,https://youtu.be/N775KsWQVkw
basics of CODING in 10 minutes,,,Clean Coding Videos,Playlist track,https://youtu.be/I-k-iTUMQAY
Why Programming Is Important?,,,Clean Coding Videos,Playlist track,https://youtu.be/Dv7gLpW91DM
Top 10 Best CODING GAMES to Learn How to Code!,,,Clean Coding Videos,Playlist track,https://youtu.be/HM5d-NcXcwA
Top 10 Best Websites to Learn Coding for Free! 2021,,,Clean Coding Videos,Playlist track,https://youtu.be/9Ewq7ovANuY
15 Sorting Algorithms in 6 Minutes,,,Clean Coding Videos,Playlist track,https://youtu.be/kPRA0W1kECg
Bubble Sort,,,Clean Coding Videos,Playlist track,https://youtu.be/Cq7SMsQBEUw
"OpenAI Plays Hide and Seek, and Breaks The Game!",,,Clean Coding Videos,Playlist track,https://youtu.be/Lu56xVlZ40M
This AI Helps Testing The Games Of The Future!,,,Clean Coding Videos,Playlist track,https://youtu.be/Nz-X3cCeXVE
AI Learns to play the Worlds Hardest Game,,,Clean Coding Videos,Playlist track,https://youtu.be/Yo2SepcNyw4
A.I.  teaches itself to drive in Trackmania,,,Clean Coding Videos,Playlist track,https://youtu.be/a8Bo2DHrrow
Multi-Agent Hide and Seek,,,Clean Coding Videos,Playlist track,https://youtu.be/kopoLzvh5jY
Neural network racing cars around a track,,,Clean Coding Videos,Playlist track,https://youtu.be/wL7tSgUpy8w
DeepMind�s AlphaStar: A Grandmaster Level StarCraft 2 AI,,,Clean Coding Videos,Playlist track,https://youtu.be/jtlrWblOyP4
Deep Blue vs Kasparov: How a computer beat best chess player in the world - BBC News,,,Clean Coding Videos,Playlist track,https://youtu.be/KF6sLCeBj0s
What if We Nuke the Moon?,,,Clean Science Videos,Playlist track,https://youtu.be/qEfPBt9dU60
Geoengineering: A Horrible Idea We Might Have to Do,,,Clean Science Videos,Playlist track,https://youtu.be/dSu5sXmsur4
The Warrior Kingdoms of the Weaver Ant,,,Clean Science Videos,Playlist track,https://youtu.be/B3QTAgHlwEg
"1,000km Cable to the Stars - The Skyhook",,,Clean Science Videos,Playlist track,https://youtu.be/dqwpQarrDwk
The Billion Ant Mega Colony and the Biggest War on Earth,,,Clean Science Videos,Playlist track,https://youtu.be/cqECNYmM23A
Building a Marsbase is a Horrible Idea: Let’s do it!,,,Clean Science Videos,Playlist track,https://youtu.be/uqKGREZs6-w
A Selfish Argument for Making the World a Better Place – Egoistic Altruism,,,Clean Science Videos,Playlist track,https://youtu.be/rvskMHn0sqQ
The Rise of the Machines – Why Automation is Different this Time,,,Clean Science Videos,Playlist track,https://youtu.be/WSKi8HfcxEk
Baltimore Science Museum's Musical Rube Goldberg Machine,,,Clean Science Videos,Playlist track,https://youtu.be/otFb4T1IcTA
The Rube Goldberg Machine (The Ball Machine) | The Children's Museum,,,Clean Science Videos,Playlist track,https://youtu.be/QQNNSJ0zZo4
Do You Love Me?,,,Clean Science Videos,Playlist track,https://youtu.be/fn3KWM1kuAw
"Hey Buddy, Can You Give Me a Hand?",,,Clean Science Videos,Playlist track,https://youtu.be/fUyU3lKzoio
